weekday;hour;minute;100 kW ≤ P < 200 kW;12 kW ≤ P < 25 kW;25 kW ≤ P < 100 kW;4 kW ≤ P < 12 kW;P < 4 kW;P ≥ 200 kW
0;0;0;0.0016269731376350042;0.0011650132773558149;0.0012907389480477573;0.0012382524765049531;0.0010190464636661409;0.0018363194203186261
0;1;0;0.0016739028090181514;0.000818606775178588;0.0009680817744369465;0.0006619447938041968;0.00048259054605120287;0.0018332259822622999
0;2;0;0.001216946854192382;0.0007273776825388997;0.0008049612824960603;0.00030361299463617044;0.0010190711894016596;0.0015390725846489922
0;3;0;0.0022392498512998145;0.001178292871343814;0.001552689439445112;0.0009346953179394737;0.0012649605916123382;0.002146083397799017
0;4;0;0.004814353006372956;0.002692084388323147;0.003211547954765971;0.00161211252733992;0.001963131434043572;0.005432615629984051
0;5;0;0.008995554320644623;0.0064895825164121585;0.005688223546040848;0.00321778742412962;0.005862706936735625;0.01063699419131884
0;6;0;0.014939309056956116;0.011552648192170726;0.009952283571915474;0.006005910274760831;0.01290229747230083;0.01720398304249236
0;7;0;0.018069044599266813;0.012316017075176317;0.012358264375736797;0.007977765846571708;0.013296663876599307;0.02157470551766894
0;8;0;0.022981312472837898;0.012086785074206909;0.014787282708142727;0.010529538575166577;0.013559816286359992;0.026709375384994457
0;9;0;0.027329966097004083;0.013705201295928874;0.017726147486997797;0.015412893220241627;0.01290879861794275;0.031346730211762396
0;10;0;0.02993898771160952;0.0142954406764475;0.019846321724106573;0.015629911135240163;0.014137856160582885;0.0343930143750152
0;11;0;0.031267274737423995;0.013868339541266416;0.02025673707210488;0.012717874515702197;0.012212260722074146;0.03598024035980241
0;12;0;0.030758040214059333;0.013179412712312925;0.019961262390338384;0.013110834847470594;0.013262217096727692;0.032680381927355055
0;13;0;0.028547585103793596;0.013042544455422541;0.01971571106403335;0.013113976863265693;0.014058061720668239;0.03198894209409093
0;14;0;0.030715302120570574;0.013840929241994602;0.020350307072612303;0.013704672190542201;0.01413850946561227;0.03644646924829157
0;15;0;0.029365640133041514;0.014012723884192443;0.021458838458226645;0.013162737260499307;0.015708812260536397;0.032712915961646924
0;16;0;0.028886211051816147;0.013611452836551413;0.021001030239219284;0.011684775758186905;0.017432416050430354;0.03322753421940091
0;17;0;0.02527094532694934;0.01160763849816617;0.016445602355507582;0.011146019870377335;0.01341641003604765;0.027106717213013207
0;18;0;0.019846261355695317;0.009531709363842974;0.012392333095019236;0.010937866577050138;0.010238907849829351;0.022336131540499717
0;19;0;0.014331210191082803;0.007593345464732234;0.009165422190809498;0.010728416353860199;0.006401681635772979;0.015051322542439795
0;20;0;0.009071550992850095;0.006149130041058468;0.0061150283344773015;0.008546274835226677;0.0045922560061874606;0.009490558615263572
0;21;0;0.005682211904926893;0.004150742417453863;0.004520507389947849;0.005941588593160698;0.002965123344270264;0.00538450242302609
0;22;0;0.004993539826099102;0.002545555304165931;0.0029256204036208853;0.0039023090248034567;0.0016763656392940105;0.0053758137699743535
0;23;0;0.002617344268016053;0.0017604569145919231;0.00173158200521753;0.0023553844595279104;0.0010191701043436058;0.002940297019834546
1;0;0;0.001824597641793614;0.0012785034780341327;0.0011078453538322405;0.0017619587423782655;0.0012978273408959815;0.002098533466728484
