weekday;hour;minute;100 kW ≤ P < 200 kW;12 kW ≤ P < 25 kW;25 kW ≤ P < 100 kW;4 kW ≤ P < 12 kW;P < 4 kW;P ≥ 200 kW
0;0;0;25.853073170731705;20.681432628524046;20.421428961748635;16.521649851632045;11.861678571428572;28.161312977099236
0;1;0;30.068641509433956;22.516493610806865;20.73001865671642;15.019857868020306;14.591416666666667;31.286267857142857
0;2;0;34.62760869565218;22.836119213696897;21.110434343434342;14.257960396039607;5.821399999999999;36.182718446601946
0;3;0;25.814083333333333;21.184728626943002;18.96319186046512;17.14925;;28.129262773722626
0;4;0;24.977441860465117;17.55146710723941;15.968499999999999;18.38420338983051;9.83525;29.43387707641196
0;5;0;25.50886909090909;16.96430265977562;17.193671388101983;15.697624125874128;9.430808510638297;28.073382943143816
0;6;0;28.188312202852615;16.13841655886158;19.431261267605635;14.446018639328983;10.302121794871795;30.24470487364621
0;7;0;29.133962859795727;15.97011210471747;20.11860197663971;13.873632133995036;8.962824858757063;31.80318597370069
0;8;0;28.874403712296985;15.15187015547125;19.608529411764707;14.021177215189875;8.67288;32.3940985915493
0;9;0;28.69580173564753;14.794421327104326;19.750628419452887;13.363555482166447;7.638877777777777;32.53886092418125
0;10;0;28.045708581644817;14.629011414859502;19.370623536789296;13.516271026156941;8.122824858757062;32.103492537313436
0;11;0;28.22830066445183;14.336817455289703;18.734887147335424;12.881480361757106;9.317945121951219;32.7523666061706
0;12;0;27.945007299270074;13.611492736797395;18.449837194740134;12.012896661367249;7.627526946107783;32.2551326944342
0;13;0;27.981195677570096;13.195333699009787;17.869990817665062;10.390256020278834;7.5370188679245285;32.55274112256586
0;14;0;28.155296559257234;12.797046303437638;18.344464724919092;10.988420133837648;7.249105590062113;31.94474563318777
0;15;0;26.609603580562656;12.894941915896561;17.94865739202658;11.129449901768172;8.849531034482759;31.156808722527476
0;16;0;26.987195488721806;13.056764797302636;17.65400744466801;11.115764853556485;10.180118279569891;30.907062455892728
0;17;0;27.62230725623583;13.320178484037195;17.308596878483836;11.285764771460423;8.690869565217392;31.336463846153844
0;18;0;26.874322383498853;14.06706333760432;18.229888094583448;11.896396557220276;9.628250000000001;31.04263078470825
